lat,lon,univ_research_count_5000m
21.0912887,73.1044301,1
21.095225,78.978564,0
21.1260842,79.0497523,10
21.1329735,72.7186912,0
21.1405412,79.0853012,11
21.1498134,79.0820556,11
21.1545412,77.6442962,0
21.1625172,81.6595932,1
21.186824,81.7373219,0
21.2380912,81.6336993,4
21.2446287,81.3183069,2
21.2702801,40.4158308,0
21.324832,39.9448821,3
21.3387994,105.3849237,2
21.3607803,-77.893592,4
21.4294717,40.4766272,4
21.4891477,39.2477254,23
21.4934146,39.2485449,23
21.4976889,83.9034987,3
21.5,85.5,0
21.5504432,39.1742363,0
21.5789439,40.1245552,0
21.5928774,39.145374,1
21.6293206,72.9945103,0
21.6740808,109.3729721,0
21.8409911,-102.3526205,7
21.880487,-102.2967195,35
21.8812194,-102.2924759,36
21.9610968,105.8440789,0
21.9722726,96.1842126,4
21.9984021,-99.019665,10
22.1283648,113.5437784,9
22.1284604,113.5438378,9
22.1443382,-101.0155732,24
22.2034732,113.5560942,9
22.2069609,113.5519648,9
22.2459907,84.8172658,1
22.2501589,84.9066856,3
22.2527148,113.5297668,6
22.2540799,91.1714399,0
22.273734,113.5721327,5
22.2828768,114.1378586,5
22.2833454,39.1128145,0
22.2853296,113.8889328,0
22.2973142,73.1942567,3
22.2977976,73.1971024,3
22.3044867,114.1796935,5
22.3053263,70.8028377,5
22.333778,91.8344348,24
22.3358031,114.2659088,2
22.3400205,114.1697162,3
22.34309,87.3012875,1
22.3492155,114.1857978,3
22.3614288,91.8154141,28
22.3661833,113.5374055,2
22.3676011,70.7970918,2
22.3716605,114.1134699,1
22.3850051,71.745261,0
22.3853501,91.802038,26
22.4201838,114.2079145,3
22.4215206,-97.8848505,2
22.4275061,114.2023539,2
22.4282789,114.2097421,2
22.4300716,114.0724197,1
22.4703584,88.1770952,0
22.4717058,91.7769101,11
22.4739858,72.7361779,0
22.4812316,88.3165822,1
22.4847326,88.3447527,9
22.495154,91.7243681,2
22.4995309,88.3715953,10
22.5000001,-100.4949145,0
22.5171688,88.4187615,2
22.5197073,113.3872302,5
22.5269276,75.9262066,8
22.5359023,113.9314749,2
22.5375702,113.9390784,2
22.5388413,88.3286153,4
22.5445741,114.0545429,4
22.5685792,88.2942109,1
22.5726459,88.3638953,6
22.5729802,113.9230289,3
